length,staticweight,balance,swingweight,headsize,beamwidth,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
-0.7938086068826108,-2.079033265604251,-0.5650440750142192,-0.5241942578309992,0.6438164109619223,0.24315495910162,0,0,1,1,0,5,6,6,7,8,1,0,12,0,4,2,9,8,14,14
1.7375218834858164,-1.8760550047714637,-1.8977950750118149,-3.295087007605046,3.2114599019411734,1.047986331883171,0,0,1,1,1,4,1,2,0,3,0,9,1,9,12,11,4,10,16,3
0.1873341002826579,0.3585017721445979,-0.0391141924846517,-0.0707095253846829,0.0116076176003878,0.9962859041543924,0,0,2,3,0,0,0,4,3,5,3,8,10,13,13,12,16,11,10,8
1.029092380666386,-0.6735734510616929,-0.4618146888760054,-0.4921182966637592,0.4637215288913818,0.9075301635646804,0,0,2,1,0,5,5,0,8,1,7,5,0,5,3,6,13,12,9,13
1.0332065849049403,-0.6193106949593629,-0.9473781876502764,-1.3994937504390434,1.4271895855339278,0.8408859442940152,0,0,1,1,0,5,6,0,8,1,7,5,0,5,6,6,13,6,3,16
-0.5015457081382952,0.6042500137071776,0.3683105847540303,0.8166323155466488,-0.797798674260225,-0.9837469890228516,0,1,0,2,3,3,4,3,2,2,10,3,7,3,1,9,8,15,18,17
0.1028653172435115,0.0778164607486575,-0.0447296312057092,0.3651967060028266,-0.3331900602471606,-0.4630435081657324,0,1,2,3,3,0,4,5,2,6,2,3,11,8,1,4,11,0,12,19
-1.2843073178574316,0.7242901020870639,1.183687108569854,1.0505160357458876,-1.0633484193634095,-0.8547601062943982,0,1,0,2,2,1,3,3,4,2,5,11,9,10,11,14,0,14,15,1
-0.3220549832135106,2.2076233959426417,1.7518388720100722,1.2510223608603324,-1.294013972053063,-1.6400270490485744,0,1,0,2,2,1,3,7,6,9,6,2,2,12,10,10,15,5,7,18
0.1056834238644831,1.9706655138859412,1.8087105049889949,0.3780048494013697,-0.3317067091096636,-0.8200688516987031,0,1,0,2,2,1,3,7,6,9,6,2,2,2,14,5,10,7,1,12
-0.7568618591181203,1.4007969777510072,0.7960717985799477,0.8144779217545245,-0.785719881334768,-1.0525672577133809,0,1,0,2,2,1,3,3,4,2,5,2,7,2,10,14,10,5,18,2
-0.2961675796073192,0.3681599991776958,-0.0712571209993472,0.5657010203516589,-0.5432267909506951,-0.5757243706197848,0,1,0,3,3,0,4,5,2,6,10,3,11,3,1,4,11,15,12,5
-0.6803009730174644,-0.5713210037694304,-0.6983284255965876,0.77760453124274,-0.7454209527420249,-0.8580640845738875,0,1,0,3,3,3,4,5,2,7,8,10,4,11,2,15,2,2,0,9
